year,reclat,reclong,mass,clipped_prediction
1975,-71.5,35.66667,2.25,35.90637027893657
1975,-71.5,35.66667,2.31,35.90637027893657
1975,-71.5,35.66667,2.62,35.90637027893657
1975,-71.5,35.66667,2.72,35.90637027893657
1975,-71.5,35.66667,2.91,35.90637027893657
1975,-71.5,35.66667,3.0,35.90637027893657
1975,-71.5,35.66667,3.3,35.90637027893657
1975,-71.5,35.66667,3.48,35.90637027893657
1975,-71.5,35.66667,3.48,35.90637027893657
1975,-71.5,35.66667,3.88,35.90637027893657
1975,-71.5,35.66667,4.17,35.90637027893657
1975,-71.5,35.66667,4.51,35.90637027893657
1975,-71.5,35.66667,4.64,35.90637027893657
1975,-71.5,35.66667,4.66,35.90637027893657
1975,-71.5,35.66667,4.72,35.90637027893657
1975,-71.5,35.66667,4.75,35.90637027893657
1975,-71.5,35.66667,4.87,35.90637027893657
1975,-71.5,35.66667,5.0,35.90637027893657
1975,-71.5,35.66667,5.17,35.90637027893657
1975,-71.5,35.66667,5.43,35.90637027893657
1975,-71.5,35.66667,5.86,35.90637027893657
1975,-71.5,35.66667,5.9,35.90637027893657
1975,-71.5,35.66667,6.24,35.90637027893657
1975,-71.5,35.66667,8.54,35.90637027893657
1975,-71.5,35.66667,8.6,35.90637027893657
1975,-71.5,35.66667,8.8,35.90637027893657
1975,-71.5,35.66667,9.4,35.90637027893657
1975,-71.5,35.66667,10.29,35.90637027893657
1975,-71.5,35.66667,11.21,35.90637027893657
1975,-71.5,35.66667,14.78,35.90637027893657
1975,-71.5,35.66667,19.1,35.90637027893657
1975,-71.5,35.66667,22.7,35.90637027893657
1975,-71.5,35.66667,26.9,35.90637027893657
1975,-71.5,35.66667,41.9,35.90637027893657
1975,-71.5,35.66667,62.8,35.90637027893657
1975,-71.5,35.66667,69.9,35.90637027893657
1975,-71.5,35.66667,70.0,35.90637027893657
1975,-71.5,35.66667,106.1,35.90637027893657
1975,-71.5,35.66667,166.6,35.90637027893657
1975,-71.5,35.66667,189.1,35.90637027893657
1975,-71.5,35.66667,590.8,35.90637027893657
1975,-71.5,35.66667,6100.0,35.90637027893657
1975,-30.46667,141.08333,12000.0,120.50893878722741
1975,-6.03333,145.36667,7330.0,232.34413613671106
1975,19.08833,99.01389,3354.0,433.3905582553258
1975,21.66667,-103.36667,30000.0,380.86777767067747
1975,30.52213,-99.73698,4318.0,483.73233149270646
1975,34.36667,118.33333,69000.0,662.9425959835148
1975,35.35,-98.68333,3912.0,550.5507946928287
1975,37.96667,-102.33333,479.0,588.1085450059941
1975,38.47,-102.82667,4860.0,595.7424686668616
1975,53.075,-105.84167,2510.0,875.6409920386552
1976,-77.58389,160.37361,13773.0,33.09345014581073
1976,-76.71667,159.66667,1510.0,33.86307544647359
1976,-40.07139,175.73028,7500.0,92.64289294889718
1976,16.88333,-99.9,1914.0,323.445416723083
1976,29.96667,-98.11667,7800.0,458.90905992244893
1976,32.71667,-102.65,478.0,491.5431988934984
1976,34.46667,-115.23333,2753000.0,508.66449727880536
1976,37.59667,-99.125,2092.0,561.5678286392103
1976,47.02633,10.27333,724.0,802.8217513413808
1976,47.9,37.5,144.0,843.8019833779865
1977,-76.71667,159.66667,0.27,32.51590385092796
1977,-76.71667,159.66667,0.9,32.51590385092796
1977,-76.71667,159.66667,2.23,32.51590385092796
1977,-76.71667,159.66667,2.33,32.51590385092796
1977,-76.71667,159.66667,2.52,32.51590385092796
1977,-76.71667,159.66667,2.55,32.51590385092796
1977,-76.71667,159.66667,2.7,32.51590385092796
1977,-76.71667,159.66667,2.9,32.51590385092796
1977,-76.71667,159.66667,3.13,32.51590385092796
1977,-76.71667,159.66667,3.67,32.51590385092796
1977,-76.71667,159.66667,3.8,32.51590385092796
1977,-76.71667,159.66667,4.36,32.51590385092796
1977,-76.71667,159.66667,4.75,32.51590385092796
